pod index,Alastor,K8s_LeastAllocated,K8s_MostAllocated,K8s_RequestedToCapacityRatio
"64,0","0,810","0,810","0,864","0,891"
"65,0","0,815","0,815","0,868","0,894"
"66,0","0,794","0,794","0,846","0,871"
"67,0","0,794","0,769","0,846","0,846"
"68,0","0,800","0,775","0,850","0,850"
"69,0","0,804","0,780","0,829","0,853"
"70,0","0,871","0,769","0,820","0,871"
"71,0","0,846","0,769","0,794","0,846"
"72,0","0,846","0,769","0,794","0,846"
"73,0","0,850","0,775","0,800","0,850"
"74,0","0,871","0,794","0,820","0,846"
"75,0","0,875","0,800","0,825","0,850"
"76,0","0,875","0,800","0,850","0,850"
"77,0","0,875","0,800","0,850","0,850"
"78,0","0,871","0,794","0,846","0,846"
"79,0","0,864","0,810","0,837","0,837"
"80,0","0,888","0,833","0,833","0,861"
"81,0","0,891","0,837","0,837","0,864"
"82,0","0,885","0,800","0,828","0,857"
"83,0","0,857","0,800","0,828","0,857"
"84,0","0,857","0,800","0,828","0,857"
"85,0","0,861","0,805","0,833","0,861"
"86,0","0,833","0,777","0,805","0,833"
"87,0","0,837","0,783","0,810","0,810"
"88,0","0,861","0,805","0,805","0,805"
"89,0","0,833","0,833","0,805","0,805"
"90,0","0,857","0,828","0,800","0,800"
"91,0","0,857","0,800","0,800","0,800"
"92,0","0,857","0,800","0,828","0,828"
"93,0","0,882","0,823","0,823","0,823"
"94,0","0,852","0,823","0,852","0,852"
"95,0","0,857","0,828","0,857","0,857"
"96,0","0,857","0,800","0,857","0,828"
"97,0","0,833","0,777","0,861","0,805"
"98,0","0,837","0,783","0,864","0,810"
"99,0","0,837","0,783","0,864","0,810"
"100,0","0,833","0,805","0,861","0,805"
"101,0","0,833","0,805","0,861","0,777"
"102,0","0,837","0,810","0,864","0,783"
"103,0","0,837","0,810","0,864","0,783"
"104,0","0,833","0,805","0,833","0,777"
"105,0","0,833","0,805","0,805","0,750"
"106,0","0,810","0,810","0,810","0,756"
"107,0","0,789","0,789","0,789","0,763"
"108,0","0,789","0,789","0,789","0,763"
"109,0","0,789","0,789","0,789","0,763"
"110,0","0,789","0,789","0,763","0,736"
"111,0","0,783","0,783","0,756","0,702"
"112,0","0,777","0,777","0,750","0,722"
"113,0","0,805","0,805","0,777","0,722"
"114,0","0,810","0,810","0,783","0,702"
"115,0","0,810","0,810","0,783","0,702"
"116,0","0,823","0,823","0,794","0,705"
"117,0","0,818","0,848","0,848","0,727"
"118,0","0,823","0,852","0,823","0,735"
"119,0","0,828","0,828","0,828","0,742"
"120,0","0,833","0,833","0,833","0,750"
"121,0","0,837","0,837","0,837","0,756"
"122,0","0,837","0,837","0,837","0,756"
"123,0","0,837","0,837","0,837","0,783"
"124,0","0,861","0,861","0,833","0,777"
"125,0","0,864","0,864","0,810","0,783"
"126,0","0,837","0,837","0,783","0,756"
"127,0","0,837","0,810","0,783","0,756"
"128,0","0,888","0,805","0,805","0,777"
"129,0","0,891","0,810","0,810","0,783"
"130,0","0,885","0,828","0,800","0,771"
"131,0","0,882","0,823","0,794","0,764"
"132,0","0,882","0,823","0,794","0,794"
"133,0","0,857","0,828","0,800","0,800"
"134,0","0,857","0,828","0,800","0,800"
"135,0","0,861","0,833","0,805","0,805"
"136,0","0,861","0,833","0,833","0,805"
"137,0","0,882","0,852","0,823","0,823"
"138,0","0,878","0,848","0,818","0,848"
"139,0","0,882","0,852","0,823","0,852"
"140,0","0,885","0,857","0,828","0,857"
"141,0","0,888","0,861","0,833","0,861"
"142,0","0,885","0,857","0,857","0,885"
"143,0","0,885","0,857","0,857","0,885"
"144,0","0,848","0,848","0,848","0,878"
"145,0","0,823","0,852","0,823","0,882"
"146,0","0,828","0,857","0,828","0,885"
"147,0","0,812","0,843","0,812","0,875"
"148,0","0,818","0,848","0,818","0,878"
"149,0","0,818","0,848","0,818","0,878"
"150,0","0,818","0,848","0,848","0,878"
"151,0","0,823","0,852","0,852","0,882"
"152,0","0,828","0,857","0,857","0,885"
"153,0","0,833","0,861","0,861","0,888"
"154,0","0,833","0,861","0,861","0,861"
"155,0","0,861","0,888","0,888","0,888"
"156,0","0,864","0,891","0,891","0,891"
"157,0","0,864","0,891","0,891","0,891"
"158,0","0,861","0,888","0,916","0,888"
"159,0","0,837","0,864","0,891","0,864"
"160,0","0,842","0,868","0,894","0,868"
"161,0","0,837","0,864","0,891","0,837"
"162,0","0,837","0,864","0,891","0,837"
"163,0","0,837","0,837","0,864","0,810"
"164,0","0,833","0,833","0,861","0,805"
"165,0","0,833","0,861","0,861","0,805"
"166,0","0,833","0,861","0,861","0,805"
"167,0","0,810","0,837","0,837","0,783"
"168,0","0,810","0,837","0,837","0,783"
"169,0","0,805","0,861","0,833","0,777"
"170,0","0,800","0,828","0,800","0,771"
"171,0","0,805","0,833","0,805","0,777"
"172,0","0,810","0,837","0,810","0,783"
"173,0","0,805","0,833","0,805","0,805"
"174,0","0,810","0,837","0,810","0,810"
"175,0","0,815","0,842","0,815","0,815"
"176,0","0,810","0,837","0,810","0,810"
"177,0","0,815","0,842","0,815","0,815"
"178,0","0,820","0,846","0,820","0,820"
"179,0","0,820","0,846","0,820","0,820"
"180,0","0,820","0,820","0,820","0,820"
"181,0","0,800","0,800","0,800","0,800"
"182,0","0,804","0,804","0,804","0,804"
"183,0","0,829","0,804","0,804","0,804"
"184,0","0,809","0,785","0,785","0,785"
"185,0","0,809","0,785","0,785","0,785"
"186,0","0,809","0,785","0,785","0,785"
"187,0","0,833","0,785","0,809","0,785"
"188,0","0,837","0,790","0,813","0,790"
"189,0","0,833","0,785","0,809","0,785"
"190,0","0,833","0,785","0,809","0,785"
"191,0","0,813","0,790","0,813","0,790"
"192,0","0,795","0,795","0,795","0,772"
"193,0","0,795","0,795","0,818","0,795"
"194,0","0,818","0,795","0,818","0,795"
"195,0","0,818","0,795","0,840","0,818"
"196,0","0,822","0,800","0,844","0,822"
"197,0","0,813","0,790","0,837","0,790"
"198,0","0,837","0,813","0,860","0,813"
"199,0","0,837","0,813","0,837","0,790"
"200,0","0,809","0,785","0,809","0,761"
"201,0","0,809","0,761","0,809","0,761"
"202,0","0,813","0,767","0,813","0,767"
"203,0","0,795","0,772","0,818","0,772"
"204,0","0,790","0,767","0,813","0,767"
"205,0","0,795","0,772","0,818","0,772"
"206,0","0,795","0,772","0,818","0,772"
"207,0","0,795","0,772","0,818","0,772"
"208,0","0,813","0,790","0,837","0,790"
"209,0","0,813","0,790","0,837","0,790"
"210,0","0,818","0,795","0,840","0,795"
"211,0","0,813","0,790","0,813","0,790"
"212,0","0,818","0,772","0,818","0,772"
"213,0","0,800","0,755","0,800","0,755"
"214,0","0,782","0,739","0,782","0,739"
"215,0","0,787","0,723","0,765","0,744"
"216,0","0,800","0,711","0,755","0,733"
"217,0","0,804","0,717","0,760","0,739"
"218,0","0,782","0,717","0,760","0,739"
"219,0","0,795","0,750","0,772","0,727"
"220,0","0,780","0,707","0,756","0,707"
"221,0","0,785","0,714","0,761","0,714"
"222,0","0,790","0,720","0,767","0,720"
"223,0","0,785","0,714","0,761","0,714"
"224,0","0,809","0,714","0,785","0,738"
"225,0","0,804","0,731","0,780","0,731"
"226,0","0,804","0,756","0,804","0,756"
"227,0","0,804","0,780","0,829","0,780"
"228,0","0,804","0,780","0,829","0,780"
"229,0","0,800","0,775","0,800","0,775"
"230,0","0,780","0,756","0,780","0,756"
"231,0","0,785","0,738","0,785","0,761"
"232,0","0,775","0,750","0,775","0,750"
"233,0","0,769","0,743","0,769","0,743"
"234,0","0,775","0,750","0,775","0,750"
"235,0","0,769","0,769","0,769","0,743"
"236,0","0,769","0,769","0,769","0,743"
"237,0","0,769","0,769","0,769","0,769"
"238,0","0,763","0,763","0,763","0,763"
"239,0","0,763","0,789","0,789","0,763"
"240,0","0,763","0,789","0,789","0,763"
"241,0","0,763","0,789","0,815","0,763"
"242,0","0,769","0,769","0,794","0,743"
"243,0","0,769","0,769","0,794","0,743"
"244,0","0,775","0,775","0,775","0,750"
"245,0","0,750","0,775","0,775","0,750"
"246,0","0,731","0,756","0,780","0,756"
"247,0","0,707","0,731","0,756","0,731"
"248,0","0,700","0,725","0,750","0,725"
"249,0","0,700","0,725","0,750","0,725"
"250,0","0,700","0,725","0,750","0,725"
"251,0","0,682","0,707","0,731","0,707"
"252,0","0,650","0,675","0,700","0,675"
"253,0","0,675","0,700","0,725","0,700"
"254,0","0,675","0,700","0,725","0,700"
"255,0","0,641","0,666","0,692","0,692"
"256,0","0,650","0,675","0,700","0,675"
"257,0","0,658","0,682","0,707","0,682"
"258,0","0,642","0,690","0,714","0,666"
"259,0","0,642","0,690","0,714","0,666"
"260,0","0,642","0,690","0,738","0,690"
"261,0","0,651","0,697","0,744","0,697"
"262,0","0,674","0,720","0,767","0,720"
"263,0","0,681","0,704","0,750","0,727"
"264,0","0,681","0,704","0,750","0,727"
"265,0","0,659","0,704","0,727","0,704"
"266,0","0,681","0,727","0,727","0,727"
"267,0","0,681","0,727","0,750","0,750"
"268,0","0,690","0,738","0,761","0,761"
"269,0","0,674","0,744","0,767","0,767"
"270,0","0,681","0,727","0,750","0,750"
"271,0","0,688","0,711","0,755","0,755"
"272,0","0,673","0,695","0,760","0,739"
"273,0","0,659","0,680","0,744","0,723"
"274,0","0,652","0,695","0,760","0,739"
"275,0","0,652","0,695","0,760","0,739"
"276,0","0,659","0,702","0,765","0,744"
"277,0","0,666","0,711","0,755","0,733"
"278,0","0,666","0,711","0,755","0,733"
"279,0","0,658","0,682","0,780","0,731"
"280,0","0,675","0,725","0,775","0,725"
"281,0","0,675","0,725","0,775","0,725"
"282,0","0,675","0,725","0,775","0,725"
"283,0","0,692","0,743","0,820","0,743"
"284,0","0,700","0,750","0,800","0,750"
"285,0","0,743","0,743","0,794","0,769"
"286,0","0,743","0,769","0,794","0,794"
"287,0","0,750","0,750","0,800","0,800"
"288,0","0,731","0,731","0,804","0,780"
"289,0","0,750","0,725","0,825","0,775"
"290,0","0,756","0,731","0,829","0,780"
"291,0","0,780","0,731","0,829","0,780"
"292,0","0,780","0,731","0,804","0,780"
"293,0","0,800","0,775","0,800","0,800"
"294,0","0,825","0,800","0,825","0,825"
"295,0","0,829","0,804","0,829","0,804"
"296,0","0,833","0,785","0,809","0,785"
"297,0","0,837","0,790","0,813","0,790"
"298,0","0,840","0,795","0,818","0,795"
"299,0","0,833","0,809","0,809","0,785"
"300,0","0,829","0,804","0,804","0,780"
"301,0","0,825","0,800","0,800","0,775"
"302,0","0,850","0,825","0,800","0,775"
"303,0","0,850","0,825","0,800","0,775"
"304,0","0,846","0,846","0,846","0,794"
"305,0","0,850","0,850","0,850","0,800"
"306,0","0,846","0,820","0,846","0,794"
"307,0","0,861","0,805","0,833","0,750"
"308,0","0,857","0,800","0,857","0,771"
"309,0","0,861","0,777","0,861","0,777"
"310,0","0,864","0,783","0,864","0,783"
"311,0","0,868","0,763","0,868","0,789"
"312,0","0,891","0,810","0,891","0,837"
"313,0","0,891","0,810","0,864","0,837"
"314,0","0,891","0,810","0,864","0,837"
"315,0","0,894","0,789","0,868","0,842"
"316,0","0,891","0,783","0,864","0,837"
"317,0","0,891","0,783","0,837","0,837"
"318,0","0,894","0,789","0,842","0,842"
"319,0","0,868","0,763","0,842","0,815"
"320,0","0,846","0,743","0,846","0,794"
"321,0","0,868","0,763","0,842","0,789"
"322,0","0,837","0,729","0,810","0,756"
"323,0","0,852","0,764","0,794","0,764"
"324,0","0,878","0,757","0,848","0,787"
"325,0","0,882","0,764","0,852","0,794"
"326,0","0,882","0,764","0,852","0,823"
"327,0","0,885","0,771","0,857","0,828"
"328,0","0,857","0,800","0,857","0,828"
"329,0","0,823","0,794","0,823","0,823"
"330,0","0,828","0,800","0,828","0,800"
"331,0","0,833","0,777","0,805","0,777"
"332,0","0,837","0,783","0,810","0,783"
"333,0","0,864","0,783","0,810","0,756"
"334,0","0,842","0,763","0,815","0,763"
"335,0","0,842","0,763","0,815","0,763"
"336,0","0,842","0,763","0,815","0,763"
"337,0","0,846","0,769","0,794","0,769"
"338,0","0,850","0,775","0,800","0,775"
"339,0","0,875","0,775","0,800","0,775"
"340,0","0,853","0,780","0,780","0,756"
"341,0","0,833","0,761","0,761","0,761"
"342,0","0,809","0,738","0,738","0,738"
"343,0","0,829","0,756","0,731","0,756"
"344,0","0,809","0,738","0,738","0,738"
"345,0","0,809","0,738","0,738","0,738"
"346,0","0,780","0,731","0,707","0,731"
"347,0","0,780","0,731","0,731","0,731"
"348,0","0,785","0,738","0,738","0,738"
"349,0","0,775","0,725","0,750","0,725"
"350,0","0,794","0,717","0,794","0,743"
"351,0","0,815","0,763","0,815","0,789"
"352,0","0,815","0,763","0,815","0,789"
"353,0","0,837","0,756","0,810","0,810"
"354,0","0,837","0,756","0,810","0,810"
"355,0","0,815","0,736","0,789","0,789"
"356,0","0,815","0,736","0,763","0,789"
"357,0","0,810","0,729","0,756","0,783"
"358,0","0,833","0,777","0,750","0,777"
"359,0","0,833","0,777","0,750","0,777"
"360,0","0,833","0,750","0,750","0,750"
"361,0","0,857","0,771","0,742","0,742"
"362,0","0,861","0,777","0,750","0,750"
"363,0","0,833","0,750","0,750","0,750"
"364,0","0,837","0,729","0,729","0,729"
"365,0","0,815","0,710","0,710","0,710"
"366,0","0,794","0,692","0,692","0,692"
"367,0","0,794","0,692","0,692","0,692"
"368,0","0,775","0,675","0,700","0,700"
"369,0","0,775","0,650","0,700","0,700"
"370,0","0,775","0,650","0,725","0,700"
"371,0","0,750","0,650","0,725","0,700"
"372,0","0,750","0,650","0,700","0,675"
"373,0","0,731","0,658","0,707","0,682"
"374,0","0,731","0,658","0,707","0,707"
"375,0","0,750","0,675","0,725","0,700"
"376,0","0,725","0,650","0,700","0,675"
"377,0","0,731","0,658","0,707","0,682"
"378,0","0,714","0,642","0,714","0,690"
"379,0","0,738","0,666","0,738","0,714"
"380,0","0,714","0,666","0,738","0,690"
"381,0","0,720","0,674","0,744","0,697"
"382,0","0,720","0,674","0,744","0,697"
"383,0","0,707","0,658","0,731","0,682"
"384,0","0,707","0,658","0,731","0,682"
"385,0","0,690","0,642","0,714","0,666"
"386,0","0,666","0,642","0,714","0,690"
"387,0","0,707","0,682","0,731","0,707"
"388,0","0,707","0,682","0,731","0,707"
"389,0","0,714","0,690","0,738","0,714"
"390,0","0,690","0,690","0,738","0,690"
"391,0","0,690","0,666","0,738","0,690"
"392,0","0,697","0,674","0,744","0,697"
"393,0","0,720","0,697","0,744","0,720"
"394,0","0,707","0,682","0,756","0,707"
"395,0","0,714","0,690","0,761","0,714"
"396,0","0,731","0,707","0,756","0,707"
"397,0","0,731","0,682","0,756","0,707"
"398,0","0,725","0,675","0,750","0,700"
"399,0","0,731","0,682","0,756","0,707"
"400,0","0,707","0,682","0,756","0,731"
"401,0","0,707","0,682","0,756","0,756"
"402,0","0,714","0,690","0,761","0,738"
"403,0","0,700","0,675","0,750","0,725"
"404,0","0,707","0,682","0,756","0,731"
"405,0","0,717","0,692","0,743","0,717"
"406,0","0,725","0,700","0,750","0,725"
"407,0","0,717","0,666","0,743","0,743"
"408,0","0,725","0,675","0,750","0,750"
"409,0","0,743","0,692","0,769","0,769"
"410,0","0,750","0,700","0,750","0,750"
"411,0","0,750","0,700","0,750","0,725"
"412,0","0,756","0,707","0,756","0,731"
"413,0","0,761","0,714","0,761","0,738"
"414,0","0,761","0,738","0,785","0,738"
"415,0","0,744","0,720","0,767","0,720"
"416,0","0,727","0,727","0,750","0,704"
"417,0","0,727","0,727","0,750","0,704"
"418,0","0,727","0,727","0,727","0,681"
"419,0","0,697","0,720","0,720","0,674"
"420,0","0,704","0,727","0,727","0,681"
"421,0","0,711","0,711","0,733","0,688"
"422,0","0,733","0,711","0,733","0,711"
"423,0","0,733","0,711","0,733","0,711"
"424,0","0,739","0,717","0,739","0,717"
"425,0","0,760","0,739","0,760","0,717"
"426,0","0,744","0,723","0,744","0,702"
"427,0","0,723","0,744","0,744","0,680"
"428,0","0,760","0,782","0,782","0,695"
"429,0","0,760","0,782","0,782","0,717"
"430,0","0,744","0,765","0,765","0,723"
"431,0","0,729","0,750","0,750","0,708"
"432,0","0,714","0,734","0,734","0,693"
"433,0","0,700","0,720","0,740","0,700"
"434,0","0,705","0,725","0,745","0,705"
"435,0","0,700","0,720","0,740","0,700"
"436,0","0,700","0,720","0,720","0,700"
"437,0","0,673","0,693","0,693","0,673"
"438,0","0,673","0,693","0,673","0,673"
"439,0","0,687","0,687","0,645","0,666"
"440,0","0,693","0,673","0,632","0,673"
"441,0","0,700","0,680","0,640","0,680"
"442,0","0,686","0,666","0,627","0,666"
"443,0","0,693","0,653","0,632","0,693"
"444,0","0,708","0,645","0,645","0,687"
"445,0","0,708","0,645","0,645","0,687"
"446,0","0,708","0,645","0,645","0,687"
"447,0","0,702","0,638","0,638","0,680"
"448,0","0,708","0,645","0,645","0,687"
"449,0","0,723","0,659","0,659","0,702"
"450,0","0,708","0,666","0,666","0,687"
"451,0","0,687","0,666","0,645","0,666"
"452,0","0,680","0,638","0,638","0,659"
"453,0","0,680","0,659","0,659","0,659"
"454,0","0,666","0,666","0,644","0,666"
"455,0","0,681","0,681","0,659","0,681"
"456,0","0,704","0,704","0,681","0,704"
"457,0","0,711","0,711","0,688","0,711"
"458,0","0,717","0,717","0,695","0,717"
"459,0","0,717","0,717","0,695","0,717"
"460,0","0,695","0,695","0,695","0,717"
"461,0","0,717","0,717","0,717","0,717"
"462,0","0,717","0,717","0,717","0,739"
"463,0","0,711","0,733","0,711","0,733"
"464,0","0,711","0,733","0,711","0,733"
"465,0","0,704","0,750","0,704","0,750"
"466,0","0,711","0,755","0,711","0,733"
"467,0","0,695","0,739","0,717","0,717"
"468,0","0,680","0,723","0,702","0,702"
"469,0","0,659","0,702","0,680","0,680"
"470,0","0,680","0,702","0,702","0,702"
"471,0","0,674","0,697","0,674","0,674"
"472,0","0,690","0,714","0,690","0,690"
"473,0","0,717","0,717","0,692","0,743"
"474,0","0,717","0,717","0,692","0,717"
"475,0","0,725","0,725","0,700","0,725"
"476,0","0,731","0,731","0,707","0,731"
"477,0","0,731","0,731","0,707","0,731"
"478,0","0,750","0,750","0,725","0,725"
"479,0","0,783","0,810","0,783","0,756"
"480,0","0,810","0,810","0,810","0,783"
"481,0","0,815","0,815","0,815","0,789"
"482,0","0,794","0,820","0,820","0,794"
"483,0","0,837","0,837","0,837","0,810"
"484,0","0,864","0,864","0,864","0,837"
"485,0","0,888","0,888","0,888","0,833"
"486,0","0,891","0,891","0,891","0,837"
"487,0","0,891","0,891","0,891","0,837"
"488,0","0,894","0,894","0,894","0,842"
"489,0","0,918","0,918","0,891","0,864"
"490,0","0,921","0,921","0,894","0,868"
"491,0","0,916","0,916","0,916","0,861"
"492,0","0,911","0,911","0,911","0,852"
"493,0","0,882","0,882","0,911","0,852"
"494,0","0,885","0,885","0,914","0,857"
"495,0","0,885","0,885","0,914","0,857"
"496,0","0,885","0,885","0,914","0,857"
"497,0","0,857","0,857","0,885","0,828"
"498,0","0,828","0,828","0,857","0,800"
"499,0","0,833","0,833","0,861","0,805"
"500,0","0,837","0,837","0,864","0,810"
"501,0","0,842","0,842","0,868","0,815"
"502,0","0,842","0,842","0,868","0,815"
"503,0","0,842","0,842","0,868","0,842"
"504,0","0,846","0,846","0,846","0,846"
"505,0","0,842","0,842","0,842","0,868"
"506,0","0,842","0,842","0,842","0,868"
"507,0","0,842","0,842","0,842","0,868"
"508,0","0,846","0,846","0,846","0,871"
"509,0","0,842","0,842","0,842","0,868"
"510,0","0,846","0,846","0,846","0,871"
"511,0","0,846","0,846","0,846","0,871"
"512,0","0,846","0,846","0,846","0,871"
"513,0","0,850","0,850","0,850","0,875"
"514,0","0,846","0,846","0,846","0,871"
"515,0","0,871","0,871","0,871","0,897"
"516,0","0,897","0,897","0,897","0,923"
"517,0","0,900","0,900","0,875","0,925"
"518,0","0,902","0,902","0,878","0,926"
"519,0","0,902","0,902","0,878","0,926"
"520,0","0,878","0,902","0,853","0,902"
"521,0","0,878","0,878","0,853","0,902"
"522,0","0,850","0,850","0,850","0,900"
"523,0","0,850","0,825","0,850","0,900"
"524,0","0,853","0,829","0,853","0,902"
"525,0","0,829","0,804","0,853","0,902"
"526,0","0,833","0,809","0,857","0,904"
"527,0","0,833","0,809","0,880","0,904"
"528,0","0,837","0,813","0,883","0,883"
"529,0","0,840","0,818","0,886","0,886"
"530,0","0,840","0,818","0,863","0,886"
"531,0","0,837","0,813","0,837","0,883"
"532,0","0,857","0,809","0,809","0,857"
"533,0","0,857","0,809","0,833","0,880"
"534,0","0,850","0,800","0,850","0,875"
"535,0","0,853","0,780","0,853","0,878"
"536,0","0,857","0,785","0,857","0,880"
"537,0","0,860","0,790","0,860","0,883"
"538,0","0,857","0,809","0,857","0,904"
"539,0","0,833","0,785","0,833","0,880"
"540,0","0,809","0,785","0,809","0,857"
"541,0","0,833","0,809","0,809","0,857"
"542,0","0,837","0,813","0,813","0,860"
"543,0","0,818","0,818","0,818","0,863"
"544,0","0,813","0,813","0,813","0,860"
"545,0","0,809","0,809","0,809","0,857"
"546,0","0,800","0,775","0,800","0,850"
"547,0","0,804","0,780","0,804","0,853"
"548,0","0,804","0,804","0,829","0,878"
"549,0","0,780","0,780","0,804","0,878"
"550,0","0,785","0,785","0,809","0,880"
"551,0","0,785","0,785","0,809","0,880"
"552,0","0,785","0,785","0,809","0,857"
"553,0","0,800","0,800","0,825","0,875"
"554,0","0,800","0,800","0,825","0,900"
"555,0","0,804","0,804","0,829","0,878"
"556,0","0,800","0,800","0,825","0,875"
"557,0","0,800","0,800","0,825","0,875"
"558,0","0,780","0,780","0,804","0,853"
"559,0","0,756","0,756","0,780","0,829"
"560,0","0,769","0,794","0,769","0,846"
"561,0","0,769","0,769","0,743","0,820"
"562,0","0,769","0,769","0,769","0,820"
"563,0","0,769","0,769","0,769","0,820"
"564,0","0,775","0,775","0,775","0,825"
"565,0","0,780","0,756","0,756","0,804"
"566,0","0,775","0,750","0,750","0,800"
"567,0","0,775","0,750","0,750","0,800"
"568,0","0,750","0,725","0,750","0,775"
"569,0","0,750","0,725","0,750","0,775"
"570,0","0,731","0,731","0,731","0,780"
"571,0","0,738","0,738","0,738","0,785"
"572,0","0,756","0,731","0,756","0,804"
"573,0","0,756","0,707","0,756","0,780"
"574,0","0,731","0,707","0,756","0,780"
"575,0","0,750","0,700","0,775","0,800"
"576,0","0,743","0,692","0,769","0,794"
"577,0","0,743","0,692","0,769","0,794"
"578,0","0,750","0,700","0,775","0,800"
"579,0","0,729","0,729","0,756","0,783"
"580,0","0,736","0,736","0,763","0,789"
"581,0","0,743","0,743","0,769","0,794"
"582,0","0,725","0,725","0,750","0,775"
"583,0","0,731","0,731","0,756","0,780"
"584,0","0,738","0,738","0,761","0,785"
"585,0","0,725","0,700","0,750","0,750"
"586,0","0,707","0,682","0,731","0,756"
"587,0","0,707","0,682","0,731","0,756"
"588,0","0,682","0,658","0,707","0,731"
"589,0","0,675","0,650","0,700","0,725"
"590,0","0,675","0,650","0,700","0,725"
"591,0","0,700","0,675","0,725","0,750"
"592,0","0,725","0,700","0,750","0,775"
"593,0","0,756","0,729","0,810","0,783"
"594,0","0,777","0,750","0,833","0,805"
"595,0","0,800","0,800","0,885","0,857"
"596,0","0,805","0,805","0,888","0,861"
"597,0","0,833","0,833","0,916","0,888"
"598,0","0,852","0,823","0,941","0,882"
"599,0","0,848","0,818","0,939","0,878"
"600,0","0,838","0,806","0,935","0,870"
"601,0","0,843","0,812","0,937","0,875"
"602,0","0,848","0,818","0,939","0,878"
"603,0","0,848","0,818","0,939","0,878"
"604,0","0,818","0,848","0,909","0,909"
"605,0","0,787","0,818","0,878","0,909"
"606,0","0,787","0,848","0,878","0,909"
"607,0","0,794","0,852","0,882","0,911"
"608,0","0,800","0,857","0,857","0,914"
"609,0","0,800","0,857","0,857","0,885"
"610,0","0,805","0,861","0,861","0,888"
"611,0","0,805","0,861","0,861","0,888"
"612,0","0,805","0,861","0,833","0,888"
"613,0","0,810","0,864","0,810","0,864"
"614,0","0,861","0,888","0,833","0,861"
"615,0","0,861","0,888","0,833","0,861"
"616,0","0,861","0,888","0,833","0,861"
"617,0","0,864","0,864","0,837","0,864"
"618,0","0,868","0,868","0,842","0,868"
"619,0","0,871","0,871","0,846","0,871"
"620,0","0,875","0,875","0,850","0,875"
"621,0","0,846","0,846","0,846","0,846"
"622,0","0,850","0,850","0,825","0,825"
"623,0","0,829","0,829","0,804","0,804"
"624,0","0,829","0,804","0,804","0,804"
"625,0","0,833","0,809","0,809","0,809"
"626,0","0,813","0,790","0,790","0,790"
"627,0","0,790","0,767","0,767","0,767"
"628,0","0,780","0,756","0,756","0,756"
"629,0","0,756","0,731","0,731","0,731"
"630,0","0,780","0,756","0,756","0,731"
